,原词,词,相似度
0,服务,服务态度,0.9677588939666748
1,服务,周到,0.9655389189720154
2,服务,人员,0.9581701159477234
3,服务,热情,0.9519524574279785
4,服务,到位,0.9515804052352905
5,服务,态度,0.9409475922584534
6,服务,服务周到,0.9383336305618286
7,服务,李管家,0.9346907734870911
8,服务,特别,0.9289791584014893
9,服务,权,0.9272365570068359
10,服务,贴心,0.9247474670410156
11,服务,赞,0.9202597737312317
12,服务,热情周到,0.9167022705078125
13,服务,超级,0.9125653505325317
14,服务,很棒,0.9118622541427612
15,服务,棒,0.9081233739852905
16,服务,接待,0.9065675735473633
17,服务,前台,0.8978852033615112
18,服务,服务员,0.8961685299873352
19,服务,小何,0.8953518867492676
0,服务,地铁,-0.09117573499679565
1,服务,走,-0.09987679868936539
2,服务,分钟,-0.10352861881256104
3,服务,隔音,-0.12619081139564514
4,服务,晚上,-0.13117410242557526
5,服务,外滩,-0.13528066873550415
6,服务,10,-0.1463976949453354
7,服务,地铁站,-0.1722017079591751
8,服务,步行,-0.17336179316043854
9,服务,号线,-0.1855400651693344
10,服务,地方,-0.19525037705898285
11,服务,找,-0.2239106297492981
12,服务,步行街,-0.23168252408504486
13,服务,距离,-0.24151736497879028
14,服务,南京路,-0.24373623728752136
15,服务,不好,-0.25205713510513306
16,服务,豫园,-0.2580476701259613
17,服务,上海,-0.26240062713623047
18,服务,站,-0.2694910168647766
19,服务,江苏,-0.27488166093826294
0,房间,很大,0.9839138388633728
1,房间,用品,0.9582465887069702
2,房间,床,0.9578043818473816
3,房间,舒服,0.9550957679748535
4,房间,洗漱,0.9352725744247437
5,房间,很小,0.9339903593063354
6,房间,味道,0.9320669174194336
7,房间,装修,0.9281988143920898
8,房间,设施,0.9222045540809631
9,房间,空间,0.9217287302017212
10,房间,设备,0.9205704927444458
11,房间,效果,0.9119342565536499
12,房间,打扫,0.9060516953468323
13,房间,卫生间,0.9060256481170654
14,房间,电视,0.9052488803863525
15,房间,冰箱,0.8985024094581604
16,房间,"
",0.8956524729728699
17,房间,齐全,0.8948306441307068
18,房间,差,0.8935491442680359
19,房间,宽敞,0.8929322361946106
0,房间,迪士尼,0.06350334733724594
1,房间,玩,0.04637252911925316
2,房间,选择,0.005541486665606499
3,房间,接送,-0.011151492595672607
4,房间,机场,-0.02574843540787697
5,房间,很近,-0.03857419267296791
6,房间,上海,-0.04321957752108574
7,房间,动物园,-0.05125418305397034
8,房间,班车,-0.05625596642494202
9,房间,这家,-0.06871331483125687
10,房间,地铁站,-0.06940357387065887
11,房间,分钟,-0.07380728423595428
12,房间,乐园,-0.09347186982631683
13,房间,还会,-0.09348945319652557
14,房间,迪斯尼,-0.09386613965034485
15,房间,下次,-0.10492104291915894
16,房间,外滩,-0.10866077244281769
17,房间,距离,-0.10921697318553925
18,房间,推荐,-0.1298138052225113
19,房间,地铁,-0.1333850920200348
0,环境,不错,0.9732303619384766
1,环境,干净,0.9598878622055054
2,环境,整洁,0.957912266254425
3,环境,服务态度,0.9566770792007446
4,环境,卫生,0.9552022814750671
5,环境,优雅,0.9543629884719849
6,环境,服务周到,0.9505949020385742
7,环境,舒适,0.9463109970092773
8,环境,超好,0.943574070930481
9,环境,新开,0.9405227303504944
10,环境,新,0.9380673766136169
11,环境,酒店设施,0.9361923933029175
12,环境,配套,0.9254117012023926
13,环境,权,0.9218095541000366
14,环境,硬件,0.9173287153244019
15,环境,完美,0.9161691069602966
16,环境,布置,0.9135916829109192
17,环境,环境优美,0.9126801490783691
18,环境,时尚,0.911540150642395
19,环境,##,0.9105480909347534
0,环境,晚上,-0.02239653281867504
1,环境,走,-0.12010674178600311
2,环境,分钟,-0.1314912587404251
3,环境,房,-0.13217267394065857
4,环境,迪士尼,-0.14333578944206238
5,环境,玩,-0.1640731394290924
6,环境,送,-0.1708051860332489
7,环境,找,-0.18164025247097015
8,环境,10,-0.18396520614624023
9,环境,车,-0.1854747086763382
10,环境,第二天,-0.18619436025619507
11,环境,早上,-0.1949780136346817
12,环境,司机,-0.21007022261619568
13,环境,机场,-0.2156745195388794
14,环境,回来,-0.2332426905632019
15,环境,地铁站,-0.23886777460575104
16,环境,地铁,-0.2459627389907837
17,环境,班车,-0.24642682075500488
18,环境,订,-0.2533438801765442
19,环境,接送,-0.25588077306747437
0,位置,地理位置,0.9805698394775391
1,位置,便利,0.9782050848007202
2,位置,交通,0.9699095487594604
3,位置,优越,0.9564266204833984
4,位置,周边,0.9440102577209473
5,位置,出行,0.9410805106163025
6,位置,好找,0.939233660697937
7,位置,安静,0.9239649772644043
8,位置,步行街,0.8943633437156677
9,位置,地段,0.879784882068634
10,位置,购物,0.8787394165992737
11,位置,靠近,0.8763558864593506
12,位置,南京路,0.8747811913490295
13,位置,出门,0.8691818714141846
14,位置,繁华,0.8690938949584961
15,位置,徐家汇,0.8663866519927979
16,位置,位于,0.8649709224700928
17,位置,闹中取静,0.8621999025344849
18,位置,逛街,0.855283796787262
19,位置,商场,0.8546804189682007
0,位置,升级,0.09661061316728592
1,位置,房,0.07807700335979462
2,位置,免费,-0.04273711517453194
3,位置,帮,-0.049739956855773926
4,位置,订,-0.07046480476856232
5,位置,玩,-0.07999269664287567
6,位置,送,-0.08939482271671295
7,位置,孩子,-0.08983863145112991
8,位置,入住,-0.09601695835590363
9,位置,大床,-0.10987243801355362
10,位置,�,-0.13304953277111053
11,位置,老板,-0.1789800375699997
12,位置,接送,-0.18002985417842865
13,位置,朋友,-0.1977171003818512
14,位置,迪士尼,-0.2016039788722992
15,位置,还会,-0.20705515146255493
16,位置,选择,-0.21084663271903992
17,位置,行李,-0.2134104073047638
18,位置,下次,-0.21363818645477295
19,位置,这家,-0.21529541909694672
0,交通,便利,0.9818277359008789
1,交通,地理位置,0.9790629148483276
2,交通,位置,0.9699095487594604
3,交通,出行,0.9491916298866272
4,交通,周边,0.9346907138824463
5,交通,优越,0.9342525005340576
6,交通,步行街,0.9031192064285278
7,交通,好找,0.8915959596633911
8,交通,安静,0.8828104734420776
9,交通,南京路,0.8796637058258057
10,交通,地段,0.8633010387420654
11,交通,购物,0.8554853200912476
12,交通,出门,0.8549784421920776
13,交通,繁华,0.8377729654312134
14,交通,靠近,0.8372951745986938
15,交通,位于,0.8243409395217896
16,交通,徐家汇,0.8206851482391357
17,交通,逛街,0.8189089298248291
18,交通,商场,0.8189049363136292
19,交通,南京,0.8158984184265137
0,交通,升级,0.23446141183376312
1,交通,房,0.2014545202255249
2,交通,免费,0.09027953445911407
3,交通,帮,0.059796515852212906
4,交通,送,0.030115250498056412
5,交通,大床,0.016234178096055984
6,交通,孩子,-0.004922587890177965
7,交通,订,-0.007194034289568663
8,交通,玩,-0.0474812276661396
9,交通,�,-0.05066552758216858
10,交通,老板,-0.06675281375646591
11,交通,入住,-0.07382497191429138
12,交通,前台,-0.08174307644367218
13,交通,接送,-0.09581117331981659
14,交通,行李,-0.10856188833713531
15,交通,晚上,-0.12457580864429474
16,交通,提供,-0.12530024349689484
17,交通,迪士尼,-0.14155249297618866
18,交通,车,-0.14812207221984863
19,交通,退房,-0.15103350579738617
0,性价比,价格,0.8904157876968384
1,性价比,值得,0.7918381690979004
2,性价比,总体,0.7727099657058716
3,性价比,住宿,0.756887674331665
4,性价比,超高,0.7434812784194946
5,性价比,实惠,0.7422040104866028
6,性价比,出差,0.734333872795105
7,性价比,一家,0.7341519594192505
8,性价比,体验,0.7235394716262817
9,性价比,评分,0.7224723696708679
10,性价比,推荐,0.7214279174804688
11,性价比,价位,0.7197265625
12,性价比,地段,0.7146990299224854
13,性价比,满意,0.7139765620231628
14,性价比,颜值,0.7132582664489746
15,性价比,不错,0.7131161093711853
16,性价比,五星,0.7125080823898315
17,性价比,整体,0.7103958129882812
18,性价比,酒店,0.7101699113845825
19,性价比,不高,0.7081729173660278
0,性价比,晚上,0.05079856514930725
1,性价比,升级,-0.015131997875869274
2,性价比,送,-0.01816563680768013
3,性价比,房,-0.030875705182552338
4,性价比,免费,-0.044474609196186066
5,性价比,车,-0.08062953501939774
6,性价比,走,-0.08409737050533295
7,性价比,司机,-0.09422998130321503
8,性价比,分钟,-0.10725465416908264
9,性价比,10,-0.1118132472038269
10,性价比,地铁站,-0.11632167547941208
11,性价比,早上,-0.11896850168704987
12,性价比,隔音,-0.12355446815490723
13,性价比,接送,-0.12436546385288239
14,性价比,接,-0.13401232659816742
15,性价比,老板,-0.13869844377040863
16,性价比,帮,-0.13979601860046387
17,性价比,迪士尼,-0.14109697937965393
18,性价比,行李,-0.15321436524391174
19,性价比,空调,-0.15660250186920166
0,早餐,机,0.9564427137374878
1,早餐,随叫随到,0.9538021683692932
2,早餐,夜宵,0.9534808993339539
3,早餐,饮料,0.9526355266571045
4,早餐,品种,0.9482545852661133
5,早餐,丰盛,0.9470725059509277
6,早餐,自助,0.9470662474632263
7,早餐,升,0.945171594619751
8,早餐,准时,0.9442735314369202
9,早餐,人好,0.9439537525177002
10,早餐,主题,0.9431716203689575
11,早餐,还给,0.9430769681930542
12,早餐,儿童,0.943030834197998
13,早餐,下午茶,0.941535234451294
14,早餐,包,0.9408854246139526
15,早餐,人超,0.9407429695129395
16,早餐,帐篷,0.9407416582107544
17,早餐,享用,0.9397997260093689
18,早餐,点心,0.9396489858627319
19,早餐,咖啡,0.939433217048645
0,早餐,隔音,-0.2854273319244385
1,早餐,上海,-0.36610665917396545
2,早餐,地铁,-0.37998881936073303
3,早餐,步行街,-0.38211870193481445
4,早餐,交通,-0.3942390978336334
5,早餐,外滩,-0.4044281542301178
6,早餐,便利,-0.422105997800827
7,早餐,南京路,-0.4281456172466278
8,早餐,高,-0.4445911645889282
9,早餐,差,-0.45863473415374756
10,早餐,还会,-0.4655255675315857
11,早餐,地铁站,-0.46643978357315063
12,早餐,选择,-0.4675367474555969
13,早餐,性价比,-0.4721597731113434
14,早餐,步行,-0.48009762167930603
15,早餐,分钟,-0.48620250821113586
16,早餐,走,-0.4992094039916992
17,早餐,效果,-0.5058172941207886
18,早餐,不好,-0.5087677240371704
19,早餐,号线,-0.508999228477478
0,价格,总体,0.9466376304626465
1,价格,超高,0.9455310106277466
2,价格,不高,0.9411619901657104
3,价格,价位,0.9094609022140503
4,价格,一家,0.9088549613952637
5,价格,实惠,0.9066784381866455
6,价格,住宿,0.9036334753036499
7,价格,高,0.897644579410553
8,价格,出差,0.8960050344467163
9,价格,性价比,0.8904157876968384
10,价格,评分,0.8813397884368896
11,价格,合适,0.8807710409164429
12,价格,优惠,0.8769932389259338
13,价格,一住,0.8765993714332581
14,价格,老洋房,0.8735004663467407
15,价格,地区,0.8730258345603943
16,价格,低,0.8702482581138611
17,价格,不贵,0.8702375292778015
18,价格,五星,0.8689768314361572
19,价格,地段,0.868680477142334
0,价格,升级,-0.13644477725028992
1,价格,送,-0.14040395617485046
2,价格,免费,-0.15209423005580902
3,价格,晚上,-0.1595051884651184
4,价格,接送,-0.17741984128952026
5,价格,车,-0.21558472514152527
6,价格,迪士尼,-0.21674257516860962
7,价格,地铁站,-0.22345468401908875
8,价格,司机,-0.22974243760108948
9,价格,房,-0.23182383179664612
10,价格,老板,-0.23430702090263367
11,价格,分钟,-0.2454323172569275
12,价格,走,-0.256752610206604
13,价格,10,-0.26357313990592957
14,价格,机场,-0.2712329626083374
15,价格,班车,-0.280578076839447
16,价格,地铁,-0.28781837224960327
17,价格,接,-0.3023267984390259
18,价格,帮,-0.3127140402793884
19,价格,提供,-0.31441640853881836
